placebo_state,post,pre,post_pre_rmspe_ratio
SP,63298.551260307744,30061.39161240957,2.1056427485605034
SC,6918.631274581531,3486.6493157896302,1.9843209476932013
PA,3120.0373654941077,1641.3917911245812,1.9008486470841
RO,1775.899031610674,951.2062752603506,1.8669967574852262
AP,1212.7238072313482,659.4552977673619,1.8389780343521702
AC,999.6102342906167,552.1103506527697,1.8105261622223892
DF,3399.318973518981,1877.9165928019117,1.8101543947950787
PB,2974.5598557537096,1662.1487678718588,1.7895870172693407
MT,6504.306300093136,3664.041051294518,1.7751728785339735
PR,3387.095132903111,1984.5785788720234,1.706707493954831
AL,6200.001666270019,3710.1880127414042,1.6710747932390972
SE,2504.2351301938215,1534.7419949122313,1.631697795782954
CE,3100.6649627828183,1929.2802664703752,1.6071614978240023
MS,2868.918954746236,1812.9059197557465,1.5824974277389787
ES,3556.248653715475,2280.019433427701,1.5597448870727981
MG,10492.730585722025,7820.563505377792,1.34168472367838
MA,2042.3160832685858,1523.7005872925715,1.3403657518420533
PE,5633.22224814338,4477.217773734948,1.2581970618427343
RN,1257.475376122996,999.4777818525904,1.2581323956918702
RS,6954.343059888299,5704.913857702837,1.2190093020420403
PI,765.67600163537,712.962991873943,1.0739351275763651
RJ,11602.707647100802,10964.146157739016,1.0582408771440044
BA,2525.015749705833,2601.0425125321312,0.9707706573575817
GO,3102.6376061499545,3373.8295249809394,0.9196189621250893
