outcome,donor_state,weight
services_volume_index,MG,0.5044317893074788
services_volume_index,SC,0.3294712559919538
services_volume_index,PA,0.11752133596127631
services_volume_index,SP,0.04857561873929062
services_volume_index,CE,3.400673420054031e-16
services_volume_index,RS,2.266655104340838e-16
services_volume_index,RO,1.6582860368510504e-17
services_volume_index,PB,1.2891838428862631e-17
services_volume_index,ES,1.1775160475280143e-17
services_volume_index,AC,0
services_volume_index,AL,0
services_volume_index,AP,0
services_volume_index,BA,0
services_volume_index,DF,0
services_volume_index,GO,0
services_volume_index,MA,0
services_volume_index,MS,0
services_volume_index,MT,0
services_volume_index,PE,0
services_volume_index,PI,0
services_volume_index,PR,0
services_volume_index,RJ,0
services_volume_index,RN,0
services_volume_index,SE,0
