period_date,analysis_period,treated_value,synthetic_value,gap,outcome,treated_state
2016-01-01,pre,-84,-75.8406682848296,-8.159331715170396,formal_hiring_balance_ma6,RR
2016-02-01,pre,-83.5,-72.51267048606852,-10.987329513931485,formal_hiring_balance_ma6,RR
2016-03-01,pre,17.666666666666668,-294.5878944003138,312.2545610669805,formal_hiring_balance_ma6,RR
2016-04-01,pre,-2.75,-283.5150747701969,280.7650747701969,formal_hiring_balance_ma6,RR
2016-05-01,pre,-10.8,-281.8909549652892,271.0909549652892,formal_hiring_balance_ma6,RR
2016-06-01,pre,-47.666666666666664,-358.3915270021865,310.7248603355198,formal_hiring_balance_ma6,RR
2016-07-01,pre,-48.666666666666664,-373.8928806815625,325.2262140148958,formal_hiring_balance_ma6,RR
2016-08-01,pre,-24.333333333333332,-145.75781889659905,121.42448556326572,formal_hiring_balance_ma6,RR
2016-09-01,pre,-3.5,113.0264665983958,-116.5264665983958,formal_hiring_balance_ma6,RR
2016-10-01,pre,-27.333333333333332,261.74264862389253,-289.07598195722585,formal_hiring_balance_ma6,RR
2016-11-01,pre,-24,96.16203610249318,-120.16203610249318,formal_hiring_balance_ma6,RR
2016-12-01,pre,-67,-1113.5051324787983,1046.5051324787983,formal_hiring_balance_ma6,RR
2017-01-01,pre,-9,-898.5727058716617,889.5727058716617,formal_hiring_balance_ma6,RR
2017-02-01,pre,7.833333333333333,-697.2766741339045,705.1100074672379,formal_hiring_balance_ma6,RR
2017-03-01,pre,-64,-867.0873194197782,803.0873194197782,formal_hiring_balance_ma6,RR
2017-04-01,pre,11.166666666666666,-904.5963397005336,915.7630063672002,formal_hiring_balance_ma6,RR
2017-05-01,pre,59.5,-814.0742084725963,873.5742084725963,formal_hiring_balance_ma6,RR
2017-06-01,pre,145,568.0603998417266,-423.0603998417266,formal_hiring_balance_ma6,RR
2017-07-01,pre,104.5,254.20545343491094,-149.70545343491094,formal_hiring_balance_ma6,RR
2017-08-01,pre,146.33333333333334,-65.50101439372959,211.83434772706295,formal_hiring_balance_ma6,RR
2017-09-01,pre,249.83333333333334,68.91896894806267,180.9143643852707,formal_hiring_balance_ma6,RR
2017-10-01,pre,217.16666666666666,230.28432610718585,-13.11765944051919,formal_hiring_balance_ma6,RR
2017-11-01,pre,196.5,171.0318825289421,25.468117471057894,formal_hiring_balance_ma6,RR
2017-12-01,pre,154.5,-918.9748217381075,1073.4748217381075,formal_hiring_balance_ma6,RR
2018-01-01,pre,167.33333333333334,-380.4706112571386,547.8039445904719,formal_hiring_balance_ma6,RR
2018-02-01,pre,90,88.89896272007091,1.1010372799290877,formal_hiring_balance_ma6,RR
