state_abbrev,unemployment_rate,formalization_rate,transfer_dependency_ratio,liquidated_expenditure_health_real_pc,liquidated_expenditure_education_real_pc,liquidated_expenditure_public_security_real_pc
AC,0.11773333333333333,0.4890833333333333,0.11023866757268833,357.3263465400507,476.0594084537588,214.2801126686994
AL,0.1486,0.5394166666666667,0.09023423457292198,117.88819647437167,86.37272224930517,117.7537253832947
AM,0.1328,0.44225000000000003,0.0390274703881779,241.37571106220435,222.1380833640062,141.06669459997931
AP,0.16126666666666667,0.5083333333333333,0.12453623406649136,288.88371600486585,429.8790882998208,213.4181902904346
BA,0.15526666666666666,0.4539166666666667,0.06612431809588074,143.07514341734296,109.16415797690081,92.55739432143245
CE,0.11366666666666667,0.45583333333333337,0.07380823979880294,113.35224587240901,108.43426441735457,76.76455588868221
DF,0.12106666666666667,0.7306666666666667,0.007406939515172871,544.7044303315873,626.3522168679482,82.43345277947036
ES,0.1136,0.6069166666666667,0.07391217208335506,197.91773261914665,105.50597314808556,110.03533753087547
GO,0.096,0.6029166666666667,0.026986750028008828,157.47886355741488,204.70583829503727,133.72503707090814
MA,0.12413333333333333,0.3763333333333333,0.09480264919063364,97.67341789509547,125.05120330341892,75.55846345258846
MG,0.10780000000000001,0.6126666666666667,0.018085126168848057,96.71718857544592,136.21709813176366,215.4597977613336
MS,0.0756,0.6375,0.025541798402401433,128.1147211202353,212.9024845164043,152.9870912592029
MT,0.08246666666666666,0.6204999999999999,0.03143790191316021,150.94525049944122,229.12781419726696,176.9915232418291
PA,0.1082,0.38725,0.030464010208865775,108.77970372964434,138.05895560394092,100.5746978096521
PB,0.11013333333333333,0.47933333333333333,0.08001045870005791,103.90572565919537,156.02062624646112,93.64036309514081
PE,0.14813333333333334,0.5196666666666666,0.05139766033531405,171.90338322828975,105.36931497704205,87.49775831216124
PI,0.10673333333333333,0.41274999999999995,0.08811328174714562,141.76884254333885,136.88565692282143,60.1642746013556
PR,0.08026666666666667,0.6628333333333333,0.021478537290437794,123.17652859021194,281.1274386787395,106.37105238604755
RJ,0.1226,0.6520833333333333,0.01134508937649817,94.80194355758287,111.95339090015672,165.3971564420332
RN,0.13706666666666667,0.5365833333333334,0.07293948115362968,120.48670881640467,126.3969378854107,87.34697296528293
RO,0.07680000000000001,0.5083333333333333,0.07726345094244669,195.09691697777458,217.94509063025947,168.62215498915103
RR,0.09733333333333333,0.5631666666666667,0.12881850902453124,412.0026345926225,456.1966260857236,254.76471855733092
RS,0.07873333333333334,0.6700833333333334,0.03395409745669677,157.21994287652268,119.84328786783271,103.34171302456441
SC,0.060066666666666664,0.7281666666666666,0.019075631870723385,132.11457237635977,142.4259835919529,99.96496478367345
SE,0.13426666666666667,0.48141666666666666,0.09324102220569132,157.12049918467315,141.53495752443428,128.2798707891916
SP,0.122,0.7113333333333334,0.021406927755657244,161.2980342626353,228.45402221859757,82.49395799907937
TO,0.10673333333333333,0.56275,0.10202745189998712,332.71998848174917,254.1121463816586,183.64818053440507
