period_date,analysis_period,clean_treated_value,clean_scm_synthetic_value,clean_augmented_synthetic_value,visual_treated_value,display_treated_value
2015-08-01,pre,2239.036012424337,2105.4100958363347,2248.813087153382,2239.036012424337,2239.036012424337
2015-10-01,pre,2512.856444733925,2309.6200872596273,2461.5005667913138,2512.856444733925,2512.856444733925
2015-12-01,pre,2698.7935709644803,2711.7629580825214,2730.693197394451,2698.7935709644803,2698.7935709644803
2016-02-01,pre,2479.2634501627363,2563.5330188454436,2463.251054965116,2479.2634501627363,2479.2634501627363
2016-04-01,pre,2564.0568230705544,2515.4277007775845,2658.7029188483953,2564.0568230705544,2564.0568230705544
2016-06-01,pre,2738.909747216999,2415.8500495562594,2665.9787991071107,2738.909747216999,2738.909747216999
2016-08-01,pre,2035.4727688204675,1969.5351061373085,2000.24465961079,2035.4727688204675,2035.4727688204675
2016-10-01,pre,2076.4120358080777,2093.368502660137,2159.2188567762437,2076.4120358080777,2076.4120358080777
2016-12-01,pre,2537.9804473351055,2456.202338239874,2471.193385586666,2537.9804473351055,2537.9804473351055
2017-02-01,pre,2186.5769270128535,2313.1552731093407,2248.382590001229,2186.5769270128535,2186.5769270128535
2017-04-01,pre,2363.259335890197,2313.5805467432756,2328.6405527179627,2363.259335890197,2363.259335890197
2017-06-01,pre,2501.259870816882,2414.509515193955,2532.6282562252286,2501.259870816882,2501.259870816882
2017-08-01,pre,2078.9740312569384,2096.405680027822,2061.4752173667753,2078.9740312569384,2078.9740312569384
2017-10-01,pre,2242.9106495887104,2253.006419694972,2252.7725550358846,2242.9106495887104,2242.9106495887104
2017-12-01,pre,2848.8058391067407,2608.156199054965,2805.4837452072557,2848.8058391067407,2848.8058391067407
2018-02-01,pre,2566.111078454963,2416.2917781570113,2587.2663334740305,2566.111078454963,2566.111078454963
2018-04-01,pre,2533.875954766691,2382.4057865160275,2520.186552791557,2533.875954766691,2533.875954766691
2018-06-01,pre,2496.784162628818,2347.75443951803,2498.16338852651,2496.784162628818,2496.784162628818
2018-08-01,pre,1976.058316649139,2123.4913938564805,1993.329760371648,1976.058316649139,1976.058316649139
2018-10-01,pre,2072.9503399089226,2286.146320553152,2037.1859045051788,2072.9503399089226,2072.9503399089226
2019-08-01,post,1770.217056274585,2110.393833953945,2172.9481458962596,1770.217056274585,1770.217056274585
2019-10-01,post,1795.64414681269,2255.2448510947456,1828.2425338190635,1795.64414681269,1795.64414681269
2019-12-01,post,2342.857446613851,2572.112090283999,2541.6852640381194,2342.857446613851,2342.857446613851
2020-02-01,post,2182.1628669905726,2418.804836459252,2215.0618250126568,2182.1628669905726,2182.1628669905726
2020-04-01,post,2203.434218172919,2251.4759760044435,2214.357062948131,2203.434218172919,2203.434218172919
2020-06-01,post,2211.2865550665615,2228.5290929171715,2205.723446395318,2211.2865550665615,2211.2865550665615
2020-08-01,post,1774.4523826819682,2093.2891912528307,2151.247681334234,1774.4523826819682,1774.4523826819682
2020-10-01,post,1947.629795932092,2171.8118016883573,2115.781924350947,1947.629795932092,1947.629795932092
2020-12-01,post,2201.585269628633,2439.1954998597457,2423.5649083875387,2201.585269628633,2201.585269628633
