period_date,analysis_period,clean_treated_value,clean_scm_synthetic_value,clean_augmented_synthetic_value,visual_treated_value,display_treated_value
2016-04-01,pre,97.93241494874044,97.66545550163218,97.84758948409942,97.93241494874044,97.93241494874044
2016-05-01,pre,96.80084592302988,97.1142886369239,97.03839462637886,96.80084592302988,96.80084592302988
2016-06-01,pre,95.55243405562024,96.2539691393387,95.35100930728586,95.55243405562024,95.55243405562024
2016-07-01,pre,95.4465722409067,96.18637851446186,95.5727032011146,95.4465722409067,95.4465722409067
2016-08-01,pre,96.2490122611765,96.77766291136568,96.16005883847338,96.2490122611765,96.2490122611765
2016-09-01,pre,95.91314534472318,95.48462048822202,95.88142059800668,95.91314534472318,95.91314534472318
2016-10-01,pre,95.74154559142394,94.90686406700456,95.89199502714207,95.74154559142394,95.74154559142394
2016-11-01,pre,95.6709912876114,94.29758096378116,95.92268388414011,95.6709912876114,95.6709912876114
2016-12-01,pre,95.5498338970106,93.4686037770935,95.24475205707289,95.5498338970106,95.5498338970106
2017-01-01,pre,92.6267716616428,91.82980794132054,92.65984471253644,92.6267716616428,92.6267716616428
2017-02-01,pre,89.5431960635313,89.84070675407202,89.63920739432983,89.5431960635313,89.5431960635313
2017-03-01,pre,86.82484810144847,89.36621200830871,86.77870614685601,86.82484810144847,86.82484810144847
2017-04-01,pre,84.33753744692712,88.40194599156064,84.24777499757504,84.33753744692712,84.33753744692712
2017-05-01,pre,81.77387392059487,87.48495069803705,81.7032930064381,81.77387392059487,81.77387392059487
2017-06-01,pre,79.55151157077724,86.28017217877009,79.56003918470226,79.55151157077724,79.55151157077724
2017-07-01,pre,79.70645495089485,86.94474682488544,79.91047245245855,79.70645495089485,79.70645495089485
2017-08-01,pre,82.05685725400677,87.75122451899679,82.36673261705806,82.05685725400677,82.05685725400677
2017-09-01,pre,83.70110755327502,87.24589566405284,83.62066416262813,83.70110755327502,83.70110755327502
2017-10-01,pre,85.13432176505623,86.96640466237872,85.37500191033482,85.13432176505623,85.13432176505623
2017-11-01,pre,87.05028149574267,87.02920327030517,87.028674489181725,87.05028149574267,87.05028149574267
2017-12-01,pre,91.57285915869438,87.9752826106191,90.89822692786876,91.57285915869438,91.57285915869438
2018-01-01,pre,90.13668762365933,86.7076306707815,89.84705923870453,90.13668762365933,90.13668762365933
2018-02-01,pre,88.23026597479588,85.63244848534237,88.16405509634524,88.23026597479588,88.23026597479588
2018-03-01,pre,88.28077619877669,85.36017233935199,89.1412479242982,88.28077619877669,88.28077619877669
2018-04-01,pre,87.91691471751204,84.57939118645842,87.42309353679597,87.91691471751204,87.91691471751204
2018-05-01,pre,87.16750828943422,83.8502711062141,87.00873869096155,87.16750828943422,87.16750828943422
2018-06-01,pre,83.87162331187916,82.26580799037767,83.99651888006376,83.87162331187916,83.87162331187916
2018-07-01,pre,86.335084297285,82.70840628188796,86.79828887921207,86.335084297285,86.335084297285
2018-08-01,pre,88.31644801761479,83.17122814009716,87.93872264103196,88.31644801761479,88.31644801761479
2018-09-01,pre,87.06754683464263,82.75099509521964,86.09904625063325,87.06754683464263,87.06754683464263
2018-10-01,pre,86.08182420556224,83.16106865983754,87.07231505803564,86.08182420556224,86.08182420556224
2019-06-01,post,82.50162188464924,76.92640056791618,78.46243322365218,82.50162188464924,82.50162188464924
2019-07-01,post,83.34066056600881,78.42827941931593,80.03042436828082,83.34066056600881,83.34066056600881
2019-08-01,post,86.70855350747824,79.21774746142688,82.54149527794942,86.70855350747824,86.70855350747824
2019-09-01,post,87.77588825775516,79.69637070910707,83.78044774136401,87.77588825775516,87.77588825775516
2019-10-01,post,87.1398708892671,80.27910445399888,85.14767931626437,87.1398708892671,87.1398708892671
2019-11-01,post,87.12100009529152,80.26571941818517,85.01943220252451,87.12100009529152,87.12100009529152
2019-12-01,post,89.67454336143076,82.04029104688755,84.14889881535453,89.67454336143076,89.67454336143076
2020-01-01,post,87.82186427657801,80.50022880216774,81.84412555038811,87.82186427657801,87.82186427657801
2020-02-01,post,84.76132758383976,80.41770265162127,80.70795559910643,84.76132758383976,84.76132758383976
2020-03-01,post,82.64451631549524,79.43479470334687,79.70202842062463,82.64451631549524,82.64451631549524
2020-04-01,post,80.30393068262877,76.10730233314811,76.61813546210254,80.30393068262877,80.30393068262877
2020-05-01,post,76.459337233856985,72.8733664859836,73.67953415774811,76.459337233856985,76.459337233856985
2020-06-01,post,71.63181775516878,69.49357142411492,70.91565032716747,71.63181775516878,71.63181775516878
2020-07-01,post,72.07223390626828,68.90064891529836,71.20443866396792,72.07223390626828,72.07223390626828
2020-08-01,post,72.33113541354594,68.41395556053152,71.82277559777117,72.33113541354594,72.33113541354594
2020-09-01,post,73.44662310115203,68.5417140555367,72.92943573299063,73.44662310115203,73.44662310115203
2020-10-01,post,76.89161360271548,70.57896521166,75.34577877987142,76.89161360271548,76.89161360271548
2020-11-01,post,80.24737187539868,73.51731891591173,77.9496091896645,80.24737187539868,80.24737187539868
2020-12-01,post,84.92671802979982,77.35275364307769,80.97518332495,84.92671802979982,84.92671802979982
