donor_state,scm_weight,outcome,label,short_label,channel,family,specification,panel,preferred_smooth,channel_slug,preliminary_outcome
AC,0.42792947405252774,formal_hiring_balance_per_100k_wap,Saldo de emprego formal por 100 mil pessoas em idade ativa,Emprego formal,Mercado de trabalho e investimento privado,monthly,raw,monthly,FALSE,labor_investment,formal_hiring_balance_per_100k_wap
AP,0.2513795622714235,formal_hiring_balance_per_100k_wap,Saldo de emprego formal por 100 mil pessoas em idade ativa,Emprego formal,Mercado de trabalho e investimento privado,monthly,raw,monthly,FALSE,labor_investment,formal_hiring_balance_per_100k_wap
SC,0.2290462296061615,formal_hiring_balance_per_100k_wap,Saldo de emprego formal por 100 mil pessoas em idade ativa,Emprego formal,Mercado de trabalho e investimento privado,monthly,raw,monthly,FALSE,labor_investment,formal_hiring_balance_per_100k_wap
PE,0.04765537221124813,formal_hiring_balance_per_100k_wap,Saldo de emprego formal por 100 mil pessoas em idade ativa,Emprego formal,Mercado de trabalho e investimento privado,monthly,raw,monthly,FALSE,labor_investment,formal_hiring_balance_per_100k_wap
DF,0.04398936185863841,formal_hiring_balance_per_100k_wap,Saldo de emprego formal por 100 mil pessoas em idade ativa,Emprego formal,Mercado de trabalho e investimento privado,monthly,raw,monthly,FALSE,labor_investment,formal_hiring_balance_per_100k_wap
AC,0.5340446611078719,formal_hiring_balance_per_100k_wap_ma6_clean,"Saldo de emprego formal por 100 mil pessoas em idade ativa, média móvel limpa de 6 meses","Emprego formal, MM6",Mercado de trabalho e investimento privado,monthly,ma6_clean,monthly,TRUE,labor_investment,formal_hiring_balance_per_100k_wap_ma6_visual
SC,0.3169232343707487,formal_hiring_balance_per_100k_wap_ma6_clean,"Saldo de emprego formal por 100 mil pessoas em idade ativa, média móvel limpa de 6 meses","Emprego formal, MM6",Mercado de trabalho e investimento privado,monthly,ma6_clean,monthly,TRUE,labor_investment,formal_hiring_balance_per_100k_wap_ma6_visual
AP,0.1490321045213729,formal_hiring_balance_per_100k_wap_ma6_clean,"Saldo de emprego formal por 100 mil pessoas em idade ativa, média móvel limpa de 6 meses","Emprego formal, MM6",Mercado de trabalho e investimento privado,monthly,ma6_clean,monthly,TRUE,labor_investment,formal_hiring_balance_per_100k_wap_ma6_visual
AC,0.8414447532512181,icms_revenue_real_pc,Receita de ICMS real per capita,ICMS,Mercado de trabalho e investimento privado,bimonthly_fiscal,raw,fiscal,FALSE,labor_investment,icms_revenue_real_pc
DF,0.08071925442434051,icms_revenue_real_pc,Receita de ICMS real per capita,ICMS,Mercado de trabalho e investimento privado,bimonthly_fiscal,raw,fiscal,FALSE,labor_investment,icms_revenue_real_pc
RO,0.07783599232443587,icms_revenue_real_pc,Receita de ICMS real per capita,ICMS,Mercado de trabalho e investimento privado,bimonthly_fiscal,raw,fiscal,FALSE,labor_investment,icms_revenue_real_pc
AC,0.8474916744036278,icms_revenue_real_pc_ma4_clean,"Receita de ICMS real per capita, média móvel limpa de 4 bimestres","ICMS, MM4",Mercado de trabalho e investimento privado,bimonthly_fiscal,ma4_clean,fiscal,TRUE,labor_investment,icms_revenue_real_pc_ma4_visual
RO,0.09368637608627224,icms_revenue_real_pc_ma4_clean,"Receita de ICMS real per capita, média móvel limpa de 4 bimestres","ICMS, MM4",Mercado de trabalho e investimento privado,bimonthly_fiscal,ma4_clean,fiscal,TRUE,labor_investment,icms_revenue_real_pc_ma4_visual
DF,0.05882194951008963,icms_revenue_real_pc_ma4_clean,"Receita de ICMS real per capita, média móvel limpa de 4 bimestres","ICMS, MM4",Mercado de trabalho e investimento privado,bimonthly_fiscal,ma4_clean,fiscal,TRUE,labor_investment,icms_revenue_real_pc_ma4_visual
AC,0.8777942404238008,priority_expenditure_share_total,"Saúde, educação e segurança pública como proporção da despesa total liquidada",Áreas prioritárias/despesa total,Setor público estadual,bimonthly_fiscal,raw,fiscal,FALSE,public_sector,priority_expenditure_share_total
AP,0.08313359636664268,priority_expenditure_share_total,"Saúde, educação e segurança pública como proporção da despesa total liquidada",Áreas prioritárias/despesa total,Setor público estadual,bimonthly_fiscal,raw,fiscal,FALSE,public_sector,priority_expenditure_share_total
GO,0.03907216320955592,priority_expenditure_share_total,"Saúde, educação e segurança pública como proporção da despesa total liquidada",Áreas prioritárias/despesa total,Setor público estadual,bimonthly_fiscal,raw,fiscal,FALSE,public_sector,priority_expenditure_share_total
AC,0.6223408653803243,priority_expenditure_share_total_ma4_clean,"Saúde, educação e segurança pública como proporção da despesa total liquidada, média móvel limpa de 4 bimestres","Áreas prioritárias/despesa total, MM4",Setor público estadual,bimonthly_fiscal,ma4_clean,fiscal,TRUE,public_sector,priority_expenditure_share_total_ma4_visual
AP,0.3096780446476297,priority_expenditure_share_total_ma4_clean,"Saúde, educação e segurança pública como proporção da despesa total liquidada, média móvel limpa de 4 bimestres","Áreas prioritárias/despesa total, MM4",Setor público estadual,bimonthly_fiscal,ma4_clean,fiscal,TRUE,public_sector,priority_expenditure_share_total_ma4_visual
GO,0.0679810899720277,priority_expenditure_share_total_ma4_clean,"Saúde, educação e segurança pública como proporção da despesa total liquidada, média móvel limpa de 4 bimestres","Áreas prioritárias/despesa total, MM4",Setor público estadual,bimonthly_fiscal,ma4_clean,fiscal,TRUE,public_sector,priority_expenditure_share_total_ma4_visual
