competencia,n_ufs,total_balance
201511,27,-18021
201512,27,-109429
201601,27,-2660
201602,27,-19551
201603,27,-23791
201604,27,-17056
201605,27,-24484
201606,27,-30644
201607,27,-29424
201608,27,-23742
201609,27,-29236
201610,27,-35398
201611,27,-53831
201612,27,-86768
201701,27,-1196
201702,27,-13761
201703,27,-10207
201704,27,-4291
201705,27,-4469
201706,27,-10237
201707,27,-38
201708,27,-241
201709,27,-452
201710,27,-5397
201711,27,-24490
201712,27,-3245
201801,27,16013
201802,27,-3786
201803,27,7823
201804,27,15044
201805,27,2429
201806,27,-1910
201807,27,9842
201808,27,11531
201809,27,12247
201810,27,-55
201811,27,-15130
201812,27,-54773
201901,27,1145
201902,27,11996
201903,27,6007
201904,27,15279
201905,27,8475
201906,27,12873
201907,27,18882
201908,27,13228
201909,27,16766
201910,27,6737
201911,27,-8367
201912,27,-49462
