period_date,analysis_period,clean_treated_value,clean_scm_synthetic_value,clean_augmented_synthetic_value,visual_treated_value,display_treated_value
2015-08-01,pre,2747.5632994398266,2662.1915131086366,2760.788166891986,2747.5632994398266,2747.5632994398266
2015-10-01,pre,2546.5780840475936,2526.2106131027713,2520.2181485246933,2546.5780840475936,2546.5780840475936
2015-12-01,pre,2620.9866858923288,2487.84220907316,2604.824229249357,2620.9866858923288,2620.9866858923288
2016-02-01,pre,2645.356534251167,2447.0870509148326,2701.5770115627297,2645.356534251167,2645.356534251167
2016-04-01,pre,2768.687361121498,2452.070536244059,2727.5803490215703,2768.687361121498,2768.687361121498
2016-06-01,pre,2852.7632438267433,2517.061284727955,2848.42596713479,2852.7632438267433,2852.7632438267433
2016-08-01,pre,2695.5098892341475,2383.8039992065833,2702.239175351858,2695.5098892341475,2695.5098892341475
2016-10-01,pre,2551.9180077655387,2295.6634745836086,2577.46507131917,2551.9180077655387,2551.9180077655387
2016-12-01,pre,2860.358369874711,2575.3753139684904,2887.299945824616,2860.358369874711,2860.358369874711
2017-02-01,pre,2960.538660636613,2559.6433486576684,2970.1131517689487,2960.538660636613,2960.538660636613
2017-04-01,pre,2982.543701500077,2528.5941469776803,2979.246494076801,2982.543701500077,2982.543701500077
2017-06-01,pre,3011.612952955567,2625.354062497125,3005.2969095291337,3011.612952955567,3011.612952955567
2017-08-01,pre,2614.3934520917546,2279.8096520596137,2602.4944261705505,2614.3934520917546,2614.3934520917546
2017-10-01,pre,2377.2717471365954,2191.8694663281503,2367.7928915406983,2377.2717471365954,2377.2717471365954
2017-12-01,pre,2508.923899305989,2358.672095571122,2539.269046283073,2508.923899305989,2508.923899305989
2018-02-01,pre,2532.0493212094784,2430.860388097224,2490.0101845415575,2532.0493212094784,2532.0493212094784
2018-04-01,pre,2446.670411961526,2476.881150539505,2442.1023071667955,2446.670411961526,2446.670411961526
2018-06-01,pre,2489.5470128685965,2599.718885617771,2479.53834065366,2489.5470128685965,2489.5470128685965
2018-08-01,pre,2238.367673836675,2494.7054099033867,2253.637287705902,2238.367673836675,2238.367673836675
2018-10-01,pre,2086.613382517673,2296.920926952268,2085.398516024408,2086.613382517673,2086.613382517673
2019-08-01,post,2605.17178023042,2331.825909678568,2293.5606425513834,2605.17178023042,2605.17178023042
2019-10-01,post,2565.288731798035,2265.0107832346075,2438.8817851777794,2565.288731798035,2565.288731798035
2019-12-01,post,2773.385680057351,2427.4220828795774,2616.879626215217,2773.385680057351,2773.385680057351
