dropped_donor,period_date,event_time,plot_time,analysis_period,loo_gap
AC,2016-04-01,-32,-32,pre,-0.15369577101508014
AC,2016-05-01,-31,-31,pre,-0.7867069577398667
AC,2016-06-01,-30,-30,pre,-0.5118821669741749
AC,2016-07-01,-29,-29,pre,-0.588253611974821
AC,2016-08-01,-28,-28,pre,-0.022979616896492416
AC,2016-09-01,-27,-27,pre,0.9587638587164093
AC,2016-10-01,-26,-26,pre,1.588812412657191
AC,2016-11-01,-25,-25,pre,2.1083305316495
AC,2016-12-01,-24,-24,pre,1.89780151378136
AC,2017-01-01,-23,-23,pre,0.7197516277397966
AC,2017-02-01,-22,-22,pre,-0.21451891474765716
AC,2017-03-01,-21,-21,pre,-2.369979195339468
AC,2017-04-01,-20,-20,pre,-3.7946197195158646
AC,2017-05-01,-19,-19,pre,-5.225651010002892
AC,2017-06-01,-18,-18,pre,-5.629932992393179
AC,2017-07-01,-17,-17,pre,-6.020950975983553
AC,2017-08-01,-16,-16,pre,-4.50624702912657
AC,2017-09-01,-15,-15,pre,-2.4628075656409862
AC,2017-10-01,-14,-14,pre,-1.6449826711969422
AC,2017-11-01,-13,-13,pre,0.34331277798789017
AC,2017-12-01,-12,-12,pre,3.8736402410572595
AC,2018-01-01,-11,-11,pre,3.525355502562107
AC,2018-02-01,-10,-10,pre,2.905603744047653
AC,2018-03-01,-9,-9,pre,2.9887880240371345
AC,2018-04-01,-8,-8,pre,3.4898790796513737
AC,2018-05-01,-7,-7,pre,3.3635885707867175
AC,2018-06-01,-6,-6,pre,1.1842716888465077
AC,2018-07-01,-5,-5,pre,3.0445409650307056
AC,2018-08-01,-4,-4,pre,3.653387357362263
AC,2018-09-01,-3,-3,pre,2.7847761995997473
AC,2018-10-01,-2,-2,pre,1.3580896089609098
AC,2018-11-01,-1,-1,pre,1.9642802180998729
AC,2019-06-01,6,1,post,2.3779604195540713
AC,2019-07-01,7,2,post,2.221332356957589
AC,2019-08-01,8,3,post,4.569984796855962
AC,2019-09-01,9,4,post,5.479427933823587
AC,2019-10-01,10,5,post,3.852801853747849
AC,2019-11-01,11,6,post,3.608465029687949
AC,2019-12-01,12,7,post,4.907866524071878
AL,2016-04-01,-32,-32,pre,0.22057725440103582
AL,2016-05-01,-31,-31,pre,-0.3241604916084242
AL,2016-06-01,-30,-30,pre,-0.6562613556660892
AL,2016-07-01,-29,-29,pre,-0.6078818418421861
AL,2016-08-01,-28,-28,pre,-0.3257322279793726
AL,2016-09-01,-27,-27,pre,0.6249351032838888
AL,2016-10-01,-26,-26,pre,1.0111553538252878
AL,2016-11-01,-25,-25,pre,1.5262935077943212
AL,2016-12-01,-24,-24,pre,2.185325388668872
AL,2017-01-01,-23,-23,pre,0.7927578291832873
