period,period_date,analysis_period,icms_revenue_cumulative_nominal,icms_revenue_nominal,icms_revenue_real,resident_population_annual,icms_revenue_real_pc,icms_revenue_real_pc_ma4_V5
2015B1,2015-02-01,pre,90213797.43,90213797.43,164715413.76907867,505665,325.7401911721766,
2015B2,2015-04-01,pre,180175057.58,89961260.15,160971317.80033723,505665,318.33588996734443,
2015B3,2015-06-01,pre,272726511.5,92551453.92,163101058.97776598,505665,322.54765304651494,
2015B4,2015-08-01,pre,359670747.97,86944236.47000003,151941436.55629107,505665,300.47845224860544,316.77554660866036
2015B5,2015-10-01,pre,448964082.44,89293334.46999997,153946414.51542166,505665,304.4434843531224,311.4513699038968
2015B6,2015-12-01,pre,546305741.66,97341659.21999995,164564439.84635562,505665,325.44162606934555,313.22780392939706
2016B1,2016-02-01,pre,94622141.57,94622141.57,156551976.47630048,514229,304.4401939141909,308.70093914631605
2016B2,2016-04-01,pre,193952094.62,99329953.05,162645210.34771657,514229,316.2894553743888,312.6536899277619
2016B3,2016-06-01,pre,287727691.22,93775596.60000002,151830801.8341957,514229,295.2591196416299,310.3575987498888
2016B4,2016-08-01,pre,386078798.84,98351107.61999996,157721104.61650953,514229,306.7137493539056,305.6756295710288
2016B5,2016-10-01,pre,497517213.62,111438414.78000005,178102495.78700206,514229,346.3486030290047,316.1527318497323
2016B6,2016-12-01,pre,602200374.89,104683161.26999998,166506002.15495825,514229,323.79737851221586,318.029712634189
2017B1,2017-02-01,pre,109179552.72,109179552.72,172431312.0486156,522636,329.9262049468762,326.6964839605006
2017B2,2017-04-01,pre,218228183.63,109048630.91,171555039.46805632,522636,328.24956464548234,332.0804377833948
2017B3,2017-06-01,pre,327484751.6,109256567.97000004,171745933.77258256,522636,328.6148175261225,327.64699140767425
2017B4,2017-08-01,pre,432418582.02,104933830.41999996,164243833.26740754,522636,314.2604666869629,325.262763451361
2017B5,2017-10-01,pre,541164048.55,108745466.52999996,169227216.5641726,522636,323.7955605128093,323.73010234284425
2017B6,2017-12-01,pre,656913776.74,115749728.19000006,178837080.5023894,522636,342.18285862892986,327.21342583870614
2018B1,2018-02-01,pre,134821582.3,134821582.3,207038688.5865172,576568,359.08806695223666,334.83173819523466
2018B2,2018-04-01,pre,163042304.44,28220722.139999986,43203155.53109985,576568,74.93158748161508,274.99951839389774
2018B3,2018-06-01,pre,245891005.93,82848701.49000001,124755909.03707716,576568,216.37674834031225,248.14481535077343
2018B4,2018-08-01,pre,332308999.5,86417993.57,129819255.9323218,576568,225.1586212421116,218.8887560040689
2018B5,2018-10-01,pre,425893733.34,93584733.83999996,139287076.77674106,576568,241.57961728146736,189.51164358637655
2018B6,2018-12-01,crisis,527717042.75,101823309.41000004,151640494.44599906,576568,263.00539476002666,263.00539476002666
2019B1,2019-02-01,post,96601283.81,96601283.81,142790823.36912602,605761,235.72138742693244,235.72138742693244
2019B2,2019-04-01,post,198343396.06,101742112.25,148424276.9208068,605761,245.02118314121708,240.37128528407476
2019B3,2019-06-01,post,317130955.13,118787559.07,173048382.53025565,605761,285.67105265980416,255.4712077426512
2019B4,2019-08-01,post,427443872.72,110312917.59000003,160221427.47153848,605761,264.49610897951254,257.72743305186657
2019B5,2019-10-01,post,554099256.23,126655383.51,183847281.2567911,605761,303.4980483338992,274.67159827860826
2019B6,2019-12-01,post,1117103859.69,563004603.46,803840728.9688401,605761,1326.9932018879394,545.1646029652889

