source_id,event_id,source_type,institution,domain,title,publication_date,url,relevance_level,used_for,status,notes
SRC_PB_2009_01_A,PB_2009_01,news,Agencia Brasil,memoria.ebc.com.br,TSE confirma cassacao de mandato de Cassio Cunha Lima do governo da Paraiba,2009-02-17,https://memoria.ebc.com.br/agenciabrasil//noticia/2009-02-18/tse-confirma-cassacao-de-mandato-de-cassio-cunha-lima-do-governo-da-paraiba,high,removal_date_and_succession,used,Confirma saida imediata e posse do segundo colocado
SRC_MA_2009_01_A,MA_2009_01,news,TSE,tse.jus.br,TSE confirma cassacao do governador do Maranhao Jackson Lago e seu vice,2009-04-16,https://www.tse.jus.br/comunicacao/radio/2009/Abril/1176042-tse-confirma-cassacao-do-governador-do-maranhao-jackson-lago-e-seu-vice,high,removal_confirmation,used,Base primaria institucional
SRC_MA_2009_01_B,MA_2009_01,news,Agencia Brasil,memoria.ebc.com.br,Com mandato cassado Jackson Lago deixa sede do governo do Maranhao,2009-04-18,https://memoria.ebc.com.br/agenciabrasil/noticia/2009-04-18/com-mandato-cassado-jackson-lago-deixa-sede-do-governo-do-maranhao,medium,exit_from_office,used,Ajuda a fechar cronologia
SRC_TO_2009_01_A,TO_2009_01,news,NSC Total,nsctotal.com.br,TSE confirma cassacao do governador do Tocantins,2009-09-08,https://www.nsctotal.com.br/noticias/tse-confirma-cassacao-do-governador-do-tocantins,high,removal_date,used,Usada como apoio por ausencia de noticia oficial do TSE facilmente localizavel
SRC_DF_2010_01_A,DF_2010_01,news,CLDF,cl.df.gov.br,Arruda e notificado com uso de testemunhas,2010-03-08,https://www.cl.df.gov.br/-/arruda-e-notificado-com-uso-de-testemunhas,medium,afastamento_context,used,Confirma que Arruda estava afastado e preso
SRC_DF_2010_01_B,DF_2010_01,news,CLDF,cl.df.gov.br,Conheca os candidatos a governador do DF na eleicao indireta de hoje,2010-04-17,https://www.cl.df.gov.br/-/conheca-os-candidatos-a-governador-do-df-na-eleicao-indireta-de-hoje,medium,succession_context,used,Ajuda a fechar a sucessao apos crise
SRC_AM_2017_01_A,AM_2017_01,news,TSE,tse.jus.br,TSE cassa governador do Amazonas e determina nova eleicao para o cargo,2017-05-04,https://www.tse.jus.br/comunicacao/noticias/2017/Maio/tse-cassa-governador-do-amazonas-e-determina-nova-eleicao-para-o-cargo,high,removal_date_and_mechanism,used,Base primaria institucional
SRC_TO_2018_01_A,TO_2018_01,news,TSE,tse.jus.br,TSE cassa mandatos do governador do Tocantins e de sua vice,2018-03-22,https://www.tse.jus.br/comunicacao/noticias/2018/Marco/tse-cassa-mandatos-do-governador-do-tocantins-e-de-sua-vice,high,removal_date_and_mechanism,used,Base primaria institucional
SRC_RR_2018_01_A,RR_2018_01,news,Senado,senado.leg.br,Senado aprova intervencao federal em Roraima,2018-12-12,https://www12.senado.leg.br/noticias/materias/2018/12/12/senado-aprova-intervencao-federal-em-roraima,high,intervention_confirmation,used,Confirma afastamento amplo do Executivo estadual
SRC_RR_2018_01_B,RR_2018_01,news,EBC,radios.ebc.com.br,Senado aprova decreto de intervencao federal em Roraima,2018-12-12,https://radios.ebc.com.br/reporter-amazonia/2018/12/senado-aprova-decreto-de-intervencao-federal-em-roraima,high,intervention_confirmation,used,Texto explicita que Suely Campos foi afastada definitivamente
SRC_RR_2026_01_A,RR_2026_01,news,FolhaBV,folhabv.com.br,TSE cassa Damiao deixa Denarium inelegivel ordena nova eleicao em Roraima mas adia anuncio do resultado Sampaio assume,2026-04-28,https://www.folhabv.com.br/politica/tse-cassa-damiao-deixa-denarium-inelegivel-ordena-nova-eleicao-em-roraima-e-sampaio-assume/,high,case_detection,used,Identificou o evento e a assuncao de Sampaio
SRC_RR_2026_01_B,RR_2026_01,news,FolhaBV,folhabv.com.br,Posse de Sampaio como governador sera as 16h30,2026-04-30,https://www.folhabv.com.br/politica/posse-de-sampaio-como-governador-sera-as-16h30/,high,removal_execution_date,used,Confirma comunicacao oficial e cumprimento imediato
SRC_RR_2026_01_C,RR_2026_01,news,Guia Boa Vista via g1,guiaroraima.com.br,Edilson Damiao toma posse como governador de Roraima apos renuncia de Denarium,2026-03-27,https://www.guiaroraima.com/noticias-27-03-2026-edilson-damiao-toma-posse-como-governador-de-roraima-apos-renuncia-de-denarium,medium,term_start_context,used,Ajuda a fechar inicio do curto mandato de Damiao
SRC_RJ_2020_01_A,RJ_2020_01,news,STJ,stj.jus.br,STJ afasta o governador Witzel do cargo e prende seis investigados por irregularidades na Saude do Rio,2020-08-28,https://www.stj.jus.br/sites/portalp/Paginas/Comunicacao/Noticias/28082020-STJ-afasta-o-governador-Witzel-do-cargo-e-prende-seis-investigados-por-irregularidades-na-Saude-do-Rio.aspx,high,initial_removal,used,Base primaria institucional
SRC_RJ_2020_01_B,RJ_2020_01,news,STJ,stj.jus.br,Corte Especial confirma afastamento do governador Wilson Witzel por 180 dias,2020-09-02,https://www.stj.jus.br/sites/portalp/Paginas/Comunicacao/Noticias/02092020-Corte-Especial-confirma-afastamento-do-governador-Wilson-Witzel-por-180-dias.aspx,high,judicial_confirmation,used,Confirma manutencao do afastamento
SRC_RJ_2020_01_C,RJ_2020_01,news,TJRJ,tjrj.jus.br,Julgamento do Impeachment de Wilson Witzel e marcado para o proximo dia 30,2021-04-21,https://www-hml.tjrj.jus.br/noticias/noticia/-/visualizar-conteudo/5111210/8115573,medium,impeachment_context,used,Contextualiza etapa final
SRC_SC_2020_01_A,SC_2020_01,news,ALESC,alesc.sc.gov.br,Tribunal Especial determina afastamento provisorio do governador,2020-10-24,https://alesc.sc.gov.br/radioal/noticia/tribunal-especial-determina-afastamento-provisorio-do-governador/,high,initial_removal,used,Base primaria institucional
SRC_SC_2020_01_B,SC_2020_01,news,ALESC,alesc.sc.gov.br,Carlos Moises e absolvido no caso do reajuste dos procuradores e retorna ao cargo de governador,2020-11-27,https://www.alesc.sc.gov.br/agenciaal/noticia/por-6-votos-a-3-moises-e-absolvido-e-retorna-ao-cargo/,high,return_date,used,Base primaria institucional
SRC_SC_2021_01_A,SC_2021_01,news,ALESC,alesc.sc.gov.br,Tribunal Especial determina afastamento provisorio do governador,2021-03-27,https://www.alesc.sc.gov.br/radioal/noticia/tribunal-especial-determina-afastamento-provisorio-do-governador1/,high,initial_removal,used,Base primaria institucional
SRC_SC_2021_01_B,SC_2021_01,news,ALESC,alesc.sc.gov.br,Moises e inocentado no caso dos respiradores e retornara ao comando do Estado,2021-05-07,https://www.alesc.sc.gov.br/agenciaal/noticia/moises-e-inocentado-no-caso-dos-respiradores-e-retornara-ao-comando-do-esta/,high,return_date,used,Base primaria institucional
